Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,Scaled,Gen 0,Allocated
Test_v_0_1_transformator,LegacyJit-Clr-X64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,39.693 ms,0.1682 ms,0.1491 ms,1.00,7308.3333,23.8 MB
Test_v_0_2_transformator,LegacyJit-Clr-X64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,12.837 ms,0.0422 ms,0.0353 ms,0.32,2964.5833,9.3 MB
Test_v_0_3_transformator,LegacyJit-Clr-X64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,11.538 ms,0.0453 ms,0.0423 ms,0.29,2163.5417,6.94 MB
Test_v_0_4_transformator,LegacyJit-Clr-X64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,11.583 ms,0.0528 ms,0.0494 ms,0.29,2138.5417,6.94 MB
Test_v_0_5_transformator,LegacyJit-Clr-X64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,6.424 ms,0.0188 ms,0.0166 ms,0.16,1794.7917,5.6 MB
Test_v_0_6_transformator,LegacyJit-Clr-X64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,5.419 ms,0.0143 ms,0.0127 ms,0.14,2280.7292,7.06 MB
Test_v_0_7_transformator,LegacyJit-Clr-X64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,3.769 ms,0.0212 ms,0.0199 ms,0.09,2222.1354,6.79 MB
Test_v_0_8_transformator,LegacyJit-Clr-X64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,3.588 ms,0.0075 ms,0.0071 ms,0.09,1608.8542,4.95 MB
Test_v_0_9_transformator,LegacyJit-Clr-X64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2.707 ms,0.0083 ms,0.0078 ms,0.07,1609.8958,4.95 MB
Test_v_0_10_transformator,LegacyJit-Clr-X64,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2.514 ms,0.0122 ms,0.0114 ms,0.06,1609.8958,4.95 MB
